Mois,(Tous),,,,,,,,MT,Contribution '25,0.4677043522764932,0.44385217874148497,,,,,,0.911556531,1,Contribution 2025,,,,DIVISION,Contribution '25,0.0246669955599408,0.7750370004933399,0.0740009866798224,0.1262950172668969,,,,1,1,Contribution 2025
Bonnet Rouge Scm 8 Box24x397g,624,5.9454720000000005,0.01512914074,0.03721374046,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl SCM Box Can 24x950g,350,7.98,0.02030630085,0.0208730916,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Scm Can 24x1Kg,14914,357.936,0.9108215667,0.8894322519,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT,3578.032,20.886143999999998,0.001678785884,0.001107498847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BR Ssm 1,5% Box 12x1L Pac BPH",-97.008,-1.164096,-0.05573532386,-0.02711211079,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BR Ssm 1,5% Box 12x500ml Elo BPH",3675.04,22.05024,1.055735324,1.027112111,#ERROR!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total général,3230732.032,12441.219696000004,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
