FC PH Master Data,COUNTRY CODE,COUNTRY NAME,REGION CODE,EQUIVALENCE,REGION NAME,SUB REGION,EQUIVALENCE,SUB REGION NAME,TERRITORY CODE,TERRITORY NAME,AREA CODE,AREA NAME,dist
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,YAOU,8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,BAS,Bassam,CTREV,8 KILOS/ YAOU/CENTRE VILLE/BEGNERI,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,ABO,Aboisso,DJELI,DJELIBA /TP/ PARCERELLE/KONAN KAN/BOIS BLANC/ AYEBO/ADAOU,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,ABO,Aboisso,DIATEK,DIATEKRO/SOKORA/CCE/WATTVILLE/BELLEVILLE/SOS/DOSOBAH/CITÉ KOUMI/LYCÉE/ KRINDJABO/KOLAIWA/SANHOUMAN,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,ABO,Aboisso,AYME,AYAMÉ/EBIKRA/AKRESIE/N’ZIKRO/BABADOUGOU/EBOUÉ/ABY/ADJOUAN/MOYASSUÉ/AKAKRO/  V1/V2/KRINDJABO/KASSIKRO,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,ABO,Aboisso,ADKE,ADIAKÉ/ABOISSO/AYAMÉ/ KRINDJABO/ NOÉ/ ASSE/SOUMIÉ/N'ZIKRO/ KOFFIKRO/BABADOUGOU/ CARF AHENOUA/ADAOU,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PLA,Plateau,AGBA,AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT,BOUSSOURA SARL
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH1,ABIDJAN 1,SOUTH 1 REGION,PLA,Plateau,CTEFER,AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT,BOUSSOURA SARL
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,ATTC,YOPOUGON 1 & 2,SODICOM-CI
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,YOP 1,Yopougon 1,WASS,WASSAKARA /  SELMER / SICOGI,SODICOM-CI
