Hiérarchie territoriale,,,,,,,,
"Un quartier par ligne. Les quartiers d'une même area partagent Territoire, Code area et distributeur. La colonne Équivalence donne la correspondance North/South.",,,,,,,,
,,,,,,,,
Pays,Division,Équiv.,Sous-région,Équiv.,Territoire,Code area,Quartier,Distributeur
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,ANOUMANBO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,SANS FIL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,SICOG,ZONE 4,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,RÉSIDENTIEL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,CHAMPROUX,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,GRPE,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,HIBISCUS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,MASSARANA,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,SICOGI,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,REMBLAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,ANOUMANBO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,SANS FIL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Marcory,HIBI,ZONE4,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,RBLA,REMBLAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,RBLA,MARAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,RBLA,DIVO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,RBLA,KOUMASSI 32,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,RBLA,TERM 05,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,CITÉ 147,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,PRODOMO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,SOPIM,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,CAMPEMENT,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,SOWETO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,CTE147,SICOGI,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,AHOU,AHOUSSABOUGOU,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,AHOU,3 AMPOULES,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,AHOU,MARCHÉ DJE KONAN,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,AHOU,SOLEIL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,AHOU,GELTI,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,REMBLAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,MARAIS,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,DIVO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,KOUMASSI 32,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,TERM 05,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,3 AMPOULES,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,KMSS32,AHOUSSABOUGOU,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,CITÉ 147,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,PRODOMO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,SOPIM,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,CAMPEMENT,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,SOWETO,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,SICOGI,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,MARCHÉ DJE KONAN,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,koumassi,PRDM,SOLEIL,SIDECOM
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,PRBC,PORT BOUET CENTRE,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,PRBC,CITÉ POLICIÈRE,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,PRBC,PETIT BASSAM,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,PRBC,VRIDI,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,AERO,AÉROPORT,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,AERO,ADJAWUI,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,JANF,JEAN FOLLY,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,JANF,ADJOUFOU,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,TRCA,TERRE ROUGE,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,TRCA,CORRIDOR,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,TRCA,ANANI,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Port bouet,PRBO,PORT BOUET,SDHPA
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,MOCKEYVILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,UNIVERSITÉ AMÉRICAINE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,EDOUKOU MIEZAN,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,QUARTIER ARTISANAL,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,MODESTE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,ANANI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,MOKE,MOOSOU 1,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,VETOCO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,MOOSOU2,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,IMPERIAL,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,DOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,QUARTIER FRANCE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,DIOULABOUGOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,VETO,AZURETI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,ANAN,ANANI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,ANAN,DOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,ANAN,DIOULABOUGO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,ANAN,PETIT MARCHÉ,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,8 KILOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,YAOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,CENTRE VILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,BEGNERI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,SAMO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,8KLO,ASSINIE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,8 KILOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,YAOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,CENTRE VILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,BEGNERI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,SAMO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,YAOU,ASSINIE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,CTREV,8 KILOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,CTREV,YAOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,CTREV,CENTRE VILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Bassam,CTREV,BEGNERI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,DJELIBA,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,TP,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,PARCERELLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,KONAN KAN,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,BOIS BLANC,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,AYEBO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DJELI,ADAOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,DIATEKRO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,SOKORA,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,CCE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,WATTVILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,BELLEVILLE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,SOS,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,DOSOBAH,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,CITÉ KOUMI,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,LYCÉE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,KRINDJABO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,KOLAIWA,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,DIATEK,SANHOUMAN,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,AYAMÉ,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,EBIKRA,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,AKRESIE,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,N’ZIKRO,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,BABADOUGOU,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,EBOUÉ,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,ABY,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,ADJOUAN,LKA SERVICES
Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH1,ABIDJAN 1,Aboisso,AYME,MOYASSUÉ,LKA SERVICES
