id,code,nom,territoire_code
"93","CÄTEAU","CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/ MACHE CHAKA KONE","ANY"
"94","AEAUTO","AXE AUTOROUTE N'DOTRE/ DANDI/COMPLEXE/MAIRIE","ANY"
"95","ANCGEN","ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE","ANY"
"96","BNDJIN1","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"97","BNDJIN2","BANDJI/N'DOTRE EXTENSION/CELESTE/NOUVELLE CASSE / ARC EN CIEL/DANDY/KOBAKRO/TERRE ROUGE/AKWABA","ANY"
"98","20LGTSLGTS","220LGTS / LIBERTÉ / QUARTIER LATIN / BRACODI / TERRASSE/RENAULT","ADJ"
"99","WILLY","WILLIAMSVILLE/MACACI/ PAILLET/VIDANGE/ HMA","ADJ"
"100","SPEURP","SAPEUR POMPIER/ SAINT MICHEL/ QUARTIER EBRIÉ/DALLAS","ADJ"
"101","NNGUIA","NANGUI ABROGOUA / MARCHE GOURO / BLACK MARKET / MIRADOR / NOUVELLE GARE","ADJ"
"102","BRAMA","BRAMACOTÉ / DÉLÉGATION / CITÉ RAN / FORUM","ADJ"
"103","CNTREAD","TERRITOIRE ADJAMÉ","ADJ"
"104","AZOPEV","ADZOPE VILLE","ADZ"
"105","AKPEVI","AKOUPE / YAKASSE ATTOBROU / ANDE / YAKASSE ME","ADZ"
"106","AGBVIL","AGBOVILLE VILLE / N'DOUCI / SIKENSI","AGB"
"107","AZGUVIL","AZAGUIE / PETIT YAPO / GRAND YAPO / RUBINO / SECHI","AGB"
"108","CFETO","CAFETOUTOU/AGNIKRO/ADOUKOFFIKRO/GARE DE NIABLE /AFFALIKRO/ANGOUAKRO/DRAMANKRO/NIABLE/ADAOU/BAOULEKRO","ABEN"
"109","CMMER","COMMERCE/RELAIS/HKB/LOBIKRO/CAMP MILITAIRE/PLATEAU","ABEN"
"110","RSDT","RESIDENTIEL/120 LGMT/CHICAGO/BAOULEKRO/DIOULAKRO/GAGOU/OUELLE/GRAV D'OR/COMMERCE/KREGBE/SOSSOBOUGOU","ABEN"
"111","PLTEMI","ADAOU/ADOUKOFIKRO/BAOULEKRO/CAFETOU/AGNIKRO/CMP MILITAIRE/COMMERCE/DIOULAKRO/HKB/LOBKRO/PLATX/RELAIS","ABEN"
"112","GRELO","BONAHOUIN/ARRAH/BONGOUANOU/APRONPRON/ASSIKASSO/AGNIBILEKRO/ANDE/APKAOUSSOU/DAOUKRO/TANKESSE/ANUANSUE","ABEN"
"113","BNON","Bonon / Garango / Gobazra / Bouaflé / Zougoussou / Zambakro / Zuenoula","YAM"
"114","Spim","Sopim / Makora - Belleville / Kokrenou 1 / Kokrenou 2 / Kokrenou 3 / Kokenou 4","YAM"
"115","ASSAB","Assabou 1 - Djahakro - 50 & 227 logements - INPHB / Assabou 2 - 220 logements","YAM"
"116","DLABOU","Dioulabougou 1 / Dioulabougou 2 / Dioulabougou 3 / Dioulabougou 4 / Dioulabougou 5/ Dioulabougou 6","YAM"
"117","MROFE","Morofé / Morofé extention/ Morofé 2 / Morofé 3 -Habitat 1 / Habitat","YAM"
"118","TMOD","Toumodi","DIM"
"119","DMBKRV","Dimbokro ville","DIM"
"120","BCAND","Toumodi / Dimbokro / M'batto / Bocanda","DIM"
"121","SKOURA","Sokoura / Commerce / Centre Ivoire / Houphouet-Ville / Nimbo / Djamourou / Dare_Salam / Tola / Maroc","BKE 1"
"122","KOKO","Koko / Audjenekourani / Hypodrome / Beaufort / Zone / Gonvreville / Beaufort/ Habitat Gonvreville","BKE 1"
"123","ONADKH","Cmrce/Sokoura/Marche/Boniere/Bokala/Dare salam/Belle ville/Air Frce/Djanbourou/Zone/Sakasou/Tola","BKE 1"
"124","CMRCE","Commerce/Nguattakro/Ahougnansou/Houphouet ville/Broukro/Sicogi/Ndakro/Campus/Adje yaokro/Tchelekro","BKE 1"
"125","BKEVILL","Bouaké ville","BKE 1"
"126","GRDM","Grand marche / Nimbo / Kennedi / Sokoura","BKE 2"
"127","AIRFR","Air France 1,2,3 / Corridor sud","BKE 2"
"128","DRSAL","Dares salam Djambourou / Abattoir / Laraba / Corridor Nord","BKE 2"
"129","BLLVIL","Belle ville 1,2,3 / Campement","BKE 2"
"130","GRDMA","Grand marche / Satama Sokora / Brobo / M'bahiakro/ Niakara / Dabakala","KAT"
"131","KTLAVIL","Katiola ville","KAT"
"132","REBANQ","Commerce/Boulevard Ado/Voie kafoudal/Voie de Mbengue/Tarato/Siempurgo/Boundiali/Gbon/Kouto/Tengréla","KOR"
"133","QATAIRF","Quartier 14/Air France/ Sinistré/Sodepra/Cite des medecins/Tiékélézo/Prémafolo/Soba/Kassirimé","KOR"
"134","HSSADG","Haoussadougou / Petit Paris / Soba","KOR"
"135","NVEQUA","Nouveau Quartier / Sossorobougou / Cocody /Klofohakaha","KOR"
"136","BNDLI","Boundiali & Environs","FER"
"137","FRKESS","Ferkessedougou & Environs SICAF1 /SICAF2","FER"
"138","BNAD","Bouna / Doropo / Tanda","BON"
"139","BNDOK1","Bondoukou 1","BON"
"140","BNDOK2","Bondoukou 2","BON"
"141","Lbia","Labia/Mossibougou/Texas/Huberson/ Millionnaire/Soleil/Kenedy2/Suisse/Grand marche/ORLY / Flora","DAL"
"142","ABTT","Abattoir/Marche Manioc/Garage/Orly plateau/Dioulabougou","DAL"
"143","CMERCE 1","Commerce / Kani / Mankono / Serela / Kouenahiri","DAL"
"144","CMERCE 2","Commerce / Kani   / Mankona","MNK"
"145","DMDE","Diomande / Traoré / Rymer / Quartier Grarge / Garage Angola / Sifie / Kouego","MNK"
"146","SGULA","Séguéla/ Mankono / Kani / Dianra","MNK"
"147","MRCHE","Marche / Zele / Dayagoine / Municipal / Campus / Quartier thérèse /","MAN"
"148","CAFOP","Cafop / Camp SEA / Lycée club / Commerce / Koko / Libreville /","MAN"
"149","BKOUMA","Biankouma / Bafing / Touba / Koro / Complexe / Sangouine /","MAN"
"150","MANVI","Man ville","MAN"
"151","NBOUHI","Nanbouhi/Camp manoir/Chateau résidentiel/Gabon/Gbakalepa/Yabayo","SOU"
"152","ANMANB","Anoumanbo/Hibiscus/Sicogi/Sans fil/Zone 4/KBF","SOU"
"153","SBRE","Okrouyo- Guehio -Buyo -Bakayo-osserie-logboville-Dapea-lessirie-commerce-kpeiri-opouyo-cité ouvriere","SOU"
"155","MNGA","Monogaga / Dabiho / Marche / Doupoudou","SPD"
"156","GRDMRCH","Grand marche / Bereby / Commerce","SPD"
"157","CTE","Cité / Jule Ferry / Lac / Sewke / Bardot","SPD"
"158","JLESFE","Lac / Jules ferry / Zone industrielle / Bardot","SPD"
"159","CRDOR","Corridor / Gare / Sotref / Dafci","SPD"
"160","SLEIL","Zapata / Garahio / Babre / Soleil / Dioulabougou","GAG 2"
"161","CRDORS","Dares salam / Grarage Koffi / Garage Dosso / Corridor Sinfra","GAG 2"
"162","Ggnoa2","Gagnoa 2 / Guiberoua / Issia / Gueyo","GAG 2"
"163","CMRCE","Commerce / Gbakayo / Galebre / Tchedelei","GAG 1"
"164","SLEIL","Soleil / Delbo / Millionnaire / Commerce","GAG 1"
"165","GBKY","Dioulabougou / Katalina / Commerce / Gbakayo","GAG 1"
"166","SKOURA","Doukakou / Sokoura / Commerce / Bribore","DIV"
"167","LBANAIS","Konankro / Libanais / Jerusalem / Dialogue 2 / Dioulabougou","DIV"
"168","DLOGUE1","Commerce / Dialogue 1 / Gremian / Benoi","DIV"
"169","Giglo1N","Guiglo 1 nord","GUI 1"
"170","Giglo1S","Guiglo 1 sud","GUI 1"
"171","Giglo1DK","Guiglo 1 / Duekoué","GUI 1"
"172","Giglo2N","Guiglo 2 Nord","GUI 2"
"173","Giglo2S","Guiglo 2 sud","GUI 2"
"174","Giglo2TBA","Guiglo 2 / Touba","GUI 2"
"175","ODNE1","Odiénne 1","ODI"
"176","ODNE2","Odiénne 2","ODI"
"177","SMTIGLA","Odiénne / Tiémé / Madinani / Samatiguila","ODI"
