Famille,Niveau,Pilier,Élément,Requis
Kiosque & Aboki,Vip Perfect Store,Visibilité,MAISON BR,Requis
Kiosque & Aboki,Vip Perfect Store,Visibilité,CHASUBLE,Requis
Kiosque & Aboki,Vip Perfect Store,Promotion,,Requis
Kiosque & Aboki,Core Perfect Store,Disponibilité,Emerging heros,Requis
Kiosque & Aboki,Core Perfect Store,Disponibilité,Herro SKU,Requis
Kiosque & Aboki,Core Perfect Store,Visibilité,VERRE,Requis
Kiosque & Aboki,Core Perfect Store,Visibilité,CARAFE,Requis
Kiosque & Aboki,Core Perfect Store,Visibilité,MAISON BR,Requis
Kiosque & Aboki,Core Perfect Store,Promotion,,Requis
Kiosque & Aboki,Basic Perfect Store,Disponibilité,Candidate to delist,Requis
Kiosque & Aboki,Basic Perfect Store,Disponibilité,Emerging heros,Requis
